aco-100:pr2392:1:757418.6879:4387.4884
aco-100:pr2392:10:753465.5072:4370.6274
aco-100:pr2392:100:761425.6379:3731.3008
aco-100:pr2392:11:764853.2943:4257.1312
aco-100:pr2392:12:748592.184:4214.0068
aco-100:pr2392:13:763279.5557:4205.8073
aco-100:pr2392:14:766048.1011:4250.5506
aco-100:pr2392:15:752276.7927:4200.8801
aco-100:pr2392:16:736279.6084:4198.3602
aco-100:pr2392:17:765079.574:4237.4063
aco-100:pr2392:18:749125.5934:4226.5798
aco-100:pr2392:19:760441.4966:4386.5043
aco-100:pr2392:2:737766.3847:4269.6262
aco-100:pr2392:20:745201.4411:4226.7687
aco-100:pr2392:21:766877.7519:4229.4175
aco-100:pr2392:22:761040.4386:4302.9116
aco-100:pr2392:23:767103.3258:4176.3465
aco-100:pr2392:24:757857.2859:4160.7635
aco-100:pr2392:25:758517.1026:4220.8058
aco-100:pr2392:26:754214.0782:4173.6105
aco-100:pr2392:27:768329.9797:4208.9217
aco-100:pr2392:28:745603.4019:4238.2756
aco-100:pr2392:29:754136.9352:4373.4867
aco-100:pr2392:3:773387.679:4279.4486
aco-100:pr2392:30:768647.091:4335.1054
aco-100:pr2392:31:766363.1084:4419.1246
aco-100:pr2392:32:763273.6624:4349.411
aco-100:pr2392:33:764573.935:4367.8571
aco-100:pr2392:34:759216.6055:4357.6052
aco-100:pr2392:35:755429.2032:4101.1457
aco-100:pr2392:36:751211.1902:4135.7034
aco-100:pr2392:37:769129.6458:4189.0167
aco-100:pr2392:38:748766.5529:4143.4335
aco-100:pr2392:39:756379.1264:4165.874
aco-100:pr2392:4:770954.9465:4221.5503
aco-100:pr2392:40:757185.2386:4181.3957
aco-100:pr2392:41:761220.8029:4456.8174
aco-100:pr2392:42:763671.7876:4374.5985
aco-100:pr2392:43:737040.7963:4470.7474
aco-100:pr2392:44:750996.6271:4276.4218
aco-100:pr2392:45:761980.7495:4259.9194
aco-100:pr2392:46:749802.4511:4357.086
aco-100:pr2392:47:755880.3056:4185.4371
aco-100:pr2392:48:758748.0914:4198.208
aco-100:pr2392:49:750828.8025:4221.126
aco-100:pr2392:5:759515.0968:4390.772
aco-100:pr2392:50:774882.7788:4165.0215
aco-100:pr2392:51:754574.8456:4181.5719
aco-100:pr2392:52:767565.5365:4204.4327
aco-100:pr2392:53:770850.8346:4254.0728
aco-100:pr2392:54:760474.1051:4207.1152
aco-100:pr2392:55:749950.2118:4239.6648
aco-100:pr2392:56:769025.5313:4231.2906
aco-100:pr2392:57:770904.4736:4225.6379
aco-100:pr2392:58:764819.1277:4252.4488
aco-100:pr2392:59:763167.1793:4138.2079
aco-100:pr2392:6:761960.5938:4381.7749
aco-100:pr2392:60:759566.6969:4133.449
aco-100:pr2392:61:777169.1433:4203.7929
aco-100:pr2392:62:751499.314:4172.1718
aco-100:pr2392:63:758031.5717:4156.7758
aco-100:pr2392:64:767449.6362:4229.9721
aco-100:pr2392:65:766954.75:4173.6421
aco-100:pr2392:66:761743.8877:4162.6247
aco-100:pr2392:67:737854.1536:4217.5799
aco-100:pr2392:68:758079.8105:4158.6574
aco-100:pr2392:69:755969.5394:4213.018
aco-100:pr2392:7:755801.789:4202.6685
aco-100:pr2392:70:769110.4248:4238.255
aco-100:pr2392:71:757785.5481:4238.5839
aco-100:pr2392:72:763075.599:4237.9007
aco-100:pr2392:73:755458.3501:4264.9573
aco-100:pr2392:74:743114.0069:4184.1609
aco-100:pr2392:75:766450.5929:4248.2798
aco-100:pr2392:76:762835.4397:4238.744
aco-100:pr2392:77:767121.1488:4330.9551
aco-100:pr2392:78:767981.5147:4234.9682
aco-100:pr2392:79:762122.5784:4347.4363
aco-100:pr2392:8:773695.5448:4179.4794
aco-100:pr2392:80:747155.498:4358.8334
aco-100:pr2392:81:753650.0154:4146.9273
aco-100:pr2392:82:750415.2373:4166.4665
aco-100:pr2392:83:764707.382:4172.6524
aco-100:pr2392:84:766445.7666:4179.6286
aco-100:pr2392:85:761025.6203:4185.056
aco-100:pr2392:86:763624.9451:4180.2844
aco-100:pr2392:87:760882.39:4196.5903
aco-100:pr2392:88:765404.1048:4156.3118
aco-100:pr2392:89:759526.0177:4183.9437
aco-100:pr2392:9:743255.3545:4530.3343
aco-100:pr2392:90:735453.0393:4158.1605
aco-100:pr2392:91:761811.9044:4124.2896
aco-100:pr2392:92:759093.2233:4014.595
aco-100:pr2392:93:747124.2857:2166.5627
aco-100:pr2392:94:749835.6993:3995.4041
aco-100:pr2392:95:768094.5126:2158.7253
aco-100:pr2392:96:759666.2359:3914.5509
aco-100:pr2392:97:737345.4492:2155.121
aco-100:pr2392:98:762767.7302:3889.0182
aco-100:pr2392:99:766901.0828:2151.7127
aco-100:berlin52:1:8209.9159:22.5133
aco-100:berlin52:10:8400.2197:23.6947
aco-100:berlin52:100:8607.0748:20.4718
aco-100:berlin52:11:8107.9114:23.1852
aco-100:berlin52:12:8264.7306:23.4267
aco-100:berlin52:13:8453.7197:23.2609
aco-100:berlin52:14:8087.662:22.1551
aco-100:berlin52:15:8194.9203:23.5881
aco-100:berlin52:16:8177.6648:22.8056
aco-100:berlin52:17:8486.4442:22.9282
aco-100:berlin52:18:8400.6825:22.1881
aco-100:berlin52:19:8382.4677:23.7059
aco-100:berlin52:2:8285.2689:23.0979
aco-100:berlin52:20:8130.052:23.0419
aco-100:berlin52:21:7700.0739:22.0544
aco-100:berlin52:22:8129.1033:23.1176
aco-100:berlin52:23:8433.7213:23.5959
aco-100:berlin52:24:8331.4224:22.7412
aco-100:berlin52:25:8542.6861:23.8978
aco-100:berlin52:26:8516.2109:23.7357
aco-100:berlin52:27:8072.3097:23.0904
aco-100:berlin52:28:8309.7222:23.8337
aco-100:berlin52:29:8450.0527:22.0866
aco-100:berlin52:3:7963.1516:23.9303
aco-100:berlin52:30:8423.7659:22.4651
aco-100:berlin52:31:8282.1631:24.1167
aco-100:berlin52:32:7962.442:25.4494
aco-100:berlin52:33:8325.7176:23.0019
aco-100:berlin52:34:8339.8684:24.0482
aco-100:berlin52:35:8509.1659:22.4439
aco-100:berlin52:36:8406.3271:22.2814
aco-100:berlin52:37:8340.3443:23.4378
aco-100:berlin52:38:8261.1462:21.9275
aco-100:berlin52:39:8143.4846:21.853
aco-100:berlin52:4:8261.7672:23.751
aco-100:berlin52:40:7820.3384:23.7443
aco-100:berlin52:41:8340.273:25.3821
aco-100:berlin52:42:8408.2145:22.3145
aco-100:berlin52:43:8350.4546:23.0013
aco-100:berlin52:44:8362.9961:25.9745
aco-100:berlin52:45:8151.704:22.5712
aco-100:berlin52:46:8132.4791:23.3937
aco-100:berlin52:47:7794.5481:22.471
aco-100:berlin52:48:8398.5716:22.3657
aco-100:berlin52:49:8034.1936:23.1859
aco-100:berlin52:5:8306.3083:24.4392
aco-100:berlin52:50:8124.1459:23.9983
aco-100:berlin52:51:8521.0634:22.9757
aco-100:berlin52:52:8247.5824:23.4753
aco-100:berlin52:53:8307.5915:24.9974
aco-100:berlin52:54:8215.4439:22.846
aco-100:berlin52:55:8292.8673:23.0643
aco-100:berlin52:56:8461.0216:22.6292
aco-100:berlin52:57:8435.0552:21.867
aco-100:berlin52:58:7929.8393:23.6545
aco-100:berlin52:59:7790.3967:23.6839
aco-100:berlin52:6:8196.6699:24.2306
aco-100:berlin52:60:8252.3492:23.2501
